id,unit,model_type,custom_model_name,table_title,stock_id
121,,BalanceSheet,,,1
122,,ProfitLossStatement,,,1
123,,CashFlow,,,1
124,,BalanceSheet,,,12
125,,ProfitLossStatement,,,12
126,,CashFlow,,,12
128,,FinancialRatios,,,12
129,,DividendHistory,,,12
130,,BalanceSheet,,,3
131,,ProfitLossStatement,,,3
132,,CashFlow,,,3
133,,DividendHistory,,,3
134,,BalanceSheet,,,4
135,,ProfitLossStatement,,,4
136,,CashFlow,,,4
137,,FinancialRatios,,,4
138,,DividendHistory,,,4
139,,BalanceSheet,,,5
140,,ProfitLossStatement,,,5
141,,CashFlow,,,5
142,,BalanceSheet,,,7
143,,ProfitLossStatement,,,7
144,,CashFlow,,,7
145,,FinancialRatios,,,7
146,,BalanceSheet,,,8
147,,ProfitLossStatement,,,8
148,,CashFlow,,,8
149,,FinancialRatios,,,8
150,,DividendHistory,,,8
151,,BalanceSheet,,,9
152,,ProfitLossStatement,,,9
153,,CashFlow,,,9
154,,FinancialRatios,,,9
155,,DividendHistory,,,9
156,,BalanceSheet,,,10
157,,ProfitLossStatement,,,10
158,,CashFlow,,,10
159,,FinancialRatios,,,10
160,,DividendHistory,,,10
161,,BalanceSheet,,,11
162,,ProfitLossStatement,,,11
163,,CashFlow,,,11
164,,FinancialRatios,,,11
165,,BalanceSheet,,,12
166,,ProfitLossStatement,,,12
167,,CashFlow,,,12
168,,FinancialRatios,,,12
169,,DividendHistory,,,12
170,,BalanceSheet,,,13
171,,ProfitLossStatement,,,13
172,,CashFlow,,,13
173,,FinancialRatios,,,13
174,,BalanceSheet,,,14
175,,ProfitLossStatement,,,14
176,,CashFlow,,,14
177,,FinancialRatios,,,14
178,,DividendHistory,,,14
179,,BalanceSheet,,,15
180,,ProfitLossStatement,,,15
181,,CashFlow,,,15
182,,FinancialRatios,,,15
183,,BalanceSheet,,,16
184,,ProfitLossStatement,,,16
185,,CashFlow,,,16
186,,FinancialRatios,,,16
187,,DividendHistory,,,16
188,,BalanceSheet,,,17
189,,ProfitLossStatement,,,17
190,,CashFlow,,,17
191,,FinancialRatios,,,17
192,,BalanceSheet,,,18
193,,ProfitLossStatement,,,18
194,,CashFlow,,,18
195,,FinancialRatios,,,18
196,,BalanceSheet,,,22
